Dist,GOPVote,DemVote,OtherVote,stateID,VID,PVI_GOP_State,PVI_GOP,TotPop,Black,BlackPct,White,WhitePct,Hispanic,HispanicPct,Female,FemalePct,Under35,Under35Pct,AtLeast65,AtLeast65Pct,MedianHHInc,Unemployed,BachelorDegreeOrHigher
IL-14,197835,203209,0,12,0,-7,5,727525,22642,0.031121955,626402,0.861004089,86970,0.119542284,368425,0.506408714,317728,0.436724511,107773,0.14813649,100011,3.2,42.6
IL-15,244947,88559,0,12,0,-7,21,685859,32344,0.047158381,633301,0.923369089,19041,0.027762266,343733,0.501171524,287044,0.418517509,132523,0.19322193,56268,3.8,20.9
IL-16,218839,119313,0,12,0,-7,8,694262,26711,0.038473948,619971,0.892992847,73367,0.105676243,348267,0.50163627,295848,0.426133074,130897,0.188541214,62868,5,23.5
IL-17,143863,156011,0,12,0,-7,-3,666201,82307,0.123546797,541536,0.812871791,64068,0.096169174,337337,0.506359192,285500,0.428549342,128276,0.192548495,50346,5.9,20.2
IL-18,261840,110039,0,12,0,-7,15,702289,26887,0.038284809,633960,0.902705297,20334,0.028953892,360846,0.513814114,302956,0.431383661,136883,0.194909788,67284,4,33.6
IN-01,132247,185180,9521,13,1,9,-8,719122,132758,0.184611234,511065,0.710679134,117031,0.16274151,366295,0.509364197,315523,0.438761434,121883,0.169488626,61104,5.4,23.2
IN-02,183601,114967,0,13,1,9,11,721469,51065,0.070779202,611348,0.847365583,73664,0.102102793,363143,0.503338328,334501,0.46363877,121248,0.168057117,54788,3.6,22.5
IN-03,220989,104762,0,13,1,9,18,753051,45663,0.060637327,650682,0.864061,47737,0.063391457,381656,0.506812952,355681,0.472319936,119970,0.159311919,57288,3.5,24.5
IN-04,225531,112984,0,13,1,9,17,767105,35576,0.046376963,667122,0.869661911,48052,0.062640708,383941,0.50050645,368211,0.480000782,120149,0.156626537,60119,3.3,26.6
IN-05,208212,191226,16788,13,1,9,9,791257,68345,0.086375223,666915,0.842855103,40290,0.050918981,401478,0.507392668,357598,0.451936602,121322,0.153328185,76417,3.5,47.9
IN-06,225318,91103,11791,13,1,9,18,720190,14879,0.020659826,666820,0.925894556,22259,0.030907122,365093,0.506939835,315403,0.437944154,129507,0.17982338,55959,3.9,21.6
